year,repository_count_Apache License 2.0,repository_count_BSD 2-Clause "Simplified" License,repository_count_BSD 3-Clause "New" or "Revised" License,repository_count_Boost Software License 1.0,repository_count_Creative Commons Attribution 4.0 International,repository_count_Creative Commons Attribution Share Alike 4.0 International,repository_count_Creative Commons Zero v1.0 Universal,repository_count_Do What The F*ck You Want To Public License,repository_count_Eclipse Public License 2.0,repository_count_GNU Affero General Public License v3.0,repository_count_GNU General Public License v2.0,repository_count_GNU General Public License v3.0,repository_count_GNU Lesser General Public License v2.1,repository_count_GNU Lesser General Public License v3.0,repository_count_ISC License,repository_count_MIT License,repository_count_MIT No Attribution,repository_count_Microsoft Public License,repository_count_Mozilla Public License 2.0,repository_count_Open Software License 3.0,repository_count_Other,repository_count_SIL Open Font License 1.1,repository_count_The Unlicense,repository_count_zlib License
2008,1,,,,,,,,,,2,1,,,,7,,,,,,,,
2009,,,,,,,,,,,,,,,,4,,,,,2,,,
2010,,2,1,,,,,,,,,1,,,,4,,,,,5,,,
2011,2,,1,,,,,,,,,,,,,2,,,,,5,,,
2012,2,,3,1,,,,,,,,1,,,,14,,1,,1,16,,,
2013,9,2,3,1,,,,,,1,4,,,,,31,,,,,16,,,1
2014,15,,3,,,,2,,,,3,2,,,,51,,,,,27,,1,
2015,20,,1,2,,,1,1,,,6,3,,,,76,,,,,32,,,
2016,22,1,8,,,,,,,1,,5,1,1,,69,,,2,,43,,1,
2017,41,5,8,1,1,,1,,,,2,7,,,2,86,,,,,32,,,
2018,41,3,9,,8,,5,,,,2,10,,,2,61,1,1,2,,32,,,2
2019,35,3,9,,5,,,,,1,1,5,,,,71,1,,,,22,,1,
2020,26,,5,,3,1,2,,1,,1,7,,,,73,1,,,,15,,3,
2021,31,2,8,,1,,3,,,,1,1,,1,1,59,2,,,,18,1,,
2022,26,,4,,,,3,1,,1,,,,,1,67,2,,,,9,,,
2023,17,2,3,,2,,,,,2,1,4,,,1,48,3,,1,,14,,1,
2024,19,1,2,,2,,2,,,2,2,3,,,,43,1,,,,11,,,
